2026-05-13T00:01:04,DROWSY,31,0.13,0.021,-0.16,-1.83,-7.06
2026-05-13T00:01:04,NORMAL,5,0.23,0.02,-0.51,-2.22,-4.14
2026-05-13T14:23:15,DROWSY,22,0.235,0.653,0.43,-4.55,0.04
2026-05-13T14:23:15,DANGER,41,0.203,0.653,0.25,-5.22,-0.26
2026-05-13T14:23:15,DROWSY,35,0.217,0.444,-0.2,-3.4,-0.17
2026-05-13T14:23:16,NORMAL,0,0.25,0.449,-0.15,-0.68,0.41
2026-05-13T14:23:17,DROWSY,20,0.222,0.122,0.0,1.36,0.58
2026-05-13T14:23:19,NORMAL,0,0.254,0.078,-0.44,1.63,-9.99
2026-05-13T14:23:22,DROWSY,21,0.213,0.02,-0.36,2.48,-2.57
2026-05-13T14:23:22,NORMAL,5,0.256,0.168,-0.71,3.15,-2.9
2026-05-13T14:23:23,DROWSY,21,0.248,0.127,0.01,2.4,-2.65
2026-05-13T14:23:23,NORMAL,5,0.252,0.096,-0.46,2.9,-2.71
2026-05-13T14:23:23,DROWSY,21,0.198,0.113,-0.32,3.06,-2.61
2026-05-13T14:23:23,DANGER,40,0.235,0.123,-0.16,1.96,-2.7
2026-05-13T14:23:24,NORMAL,5,0.257,0.006,-0.86,2.67,-2.6
2026-05-13T14:23:25,DROWSY,21,0.218,0.195,-0.17,2.93,-2.37
2026-05-13T14:23:25,NORMAL,5,0.254,0.142,-0.1,3.07,-3.15
2026-05-13T14:23:26,DROWSY,21,0.243,0.107,-0.18,2.95,-2.58
2026-05-13T14:23:26,NORMAL,5,0.25,0.1,-0.19,2.56,-2.84
2026-05-13T14:23:30,DROWSY,21,0.139,0.118,-0.07,3.25,-7.8
2026-05-13T14:23:31,NORMAL,5,0.253,0.076,0.05,9.27,0.62
2026-05-13T14:23:48,DROWSY,21,0.248,0.109,5.46,3.37,-1.35
2026-05-13T14:23:48,NORMAL,5,0.26,0.0,5.97,5.06,-1.09
2026-05-13T14:23:54,DROWSY,21,0.194,0.013,0.97,-1.73,3.76
2026-05-13T14:23:55,DANGER,43,0.118,0.677,-0.64,-12.03,3.77
2026-05-13T14:23:58,NORMAL,5,0.269,0.183,4.68,-4.99,-4.62
2026-05-13T14:23:59,DROWSY,21,0.186,0.48,3.54,-0.53,-4.71
2026-05-13T14:23:59,DANGER,41,0.215,0.667,2.91,0.32,-2.69
2026-05-13T14:23:59,DROWSY,39,0.169,0.492,3.84,0.5,-2.2
2026-05-13T14:23:59,NORMAL,5,0.276,0.36,5.01,4.32,-1.56
2026-05-13T14:24:04,DROWSY,21,0.244,0.007,3.65,13.24,0.18
2026-05-13T14:24:04,NORMAL,5,0.257,0.015,-0.82,18.63,-4.94
2026-05-13T14:24:09,DROWSY,21,0.23,0.0,1.28,-0.82,6.57
